timestamp,irradiance,cloud_cover,temperature,humidity,wind_speed,pressure,hour,kwh
2020-03-01 00:00:00,0.0,56.1,6.6,86.3,2.29,1008.3,0,0.0
2020-03-01 01:00:00,0.0,42.6,4.5,84.2,2.89,1018.7,1,0.0
2020-03-01 02:00:00,0.0,50.1,6.2,82.4,3.51,1008.4,2,0.0
2020-03-01 03:00:00,0.0,54.8,6.6,86.9,2.75,1006.4,3,0.0
2020-03-01 04:00:00,0.0,46.0,7.6,84.7,2.47,1013.5,4,0.0
2020-03-01 05:00:00,0.0,39.6,9.1,80.9,2.35,1011.3,5,0.0
2020-03-01 06:00:00,0.0,44.3,6.2,73.5,3.34,1007.0,6,0.0
2020-03-01 07:00:00,93.18,40.0,8.7,74.1,3.14,1015.1,7,0.0186
2020-03-01 08:00:00,191.5,36.2,10.0,71.0,3.05,1005.0,8,0.0383
2020-03-01 09:00:00,252.19,40.6,11.1,78.3,2.16,1008.9,9,0.0504
2020-03-01 10:00:00,263.52,49.3,11.5,75.1,3.58,1010.7,10,0.0527
2020-03-01 11:00:00,278.86,51.9,11.3,67.5,3.32,1016.2,11,0.0558
2020-03-01 12:00:00,279.52,53.4,14.5,69.7,3.18,1018.2,12,0.0559
2020-03-01 13:00:00,243.47,58.0,13.7,64.1,3.7,1017.4,13,0.0487
2020-03-01 14:00:00,190.84,63.3,15.1,69.6,4.25,1012.4,14,0.0382
2020-03-01 15:00:00,185.33,56.3,13.6,63.4,4.2,1003.3,15,0.0371
2020-03-01 16:00:00,135.96,54.7,12.7,75.5,4.05,1014.6,16,0.0272
2020-03-01 17:00:00,76.74,50.6,13.9,73.3,3.26,1018.9,17,0.0153
2020-03-01 18:00:00,0.0,49.6,12.7,82.3,2.43,1017.9,18,0.0
2020-03-01 19:00:00,0.0,47.5,12.2,77.7,1.96,1014.9,19,0.0
2020-03-01 20:00:00,0.0,50.2,13.3,70.0,2.41,1008.2,20,0.0
